_id,bgg_user_name,Eta,Categoria1,Categoria2
5fd6487e0d3001ac301223ef,microcline,38,Puzzle:1028,Economic:1021
5fd6487e0d3001ac301223f0,mtmertmd,75,Video Game Theme:1101,Book:1117
5fd6487e0d3001ac301223f1,regine,69,Modern Warfare:1069,Transportation:1011
5fd6487e0d3001ac301223f2,nat the nut,73,Number:1098,Print & Play:1120
5fd6487e0d3001ac301223f3,kd5dgh,70,Novel-Based:1093,Word-game:1025
5fd6487e0d3001ac301223f4,jtong77,58,Action/Dexterity:1032,Dice:1017
5fd6487e0d3001ac301223f5,greg foster,50,Memory:1045,Collectible Components:1044
5fd6487e0d3001ac301223f6,droopy,62,Medical:2145,Collectible Components:1044
5fd6487e0d3001ac301223f7,ajbmaster,50,Miniatures:1047,Medical:2145
5fd6487e0d3001ac301223f8,bloodeisen,22,Collectible Components:1044,Movies/TV/Radio Theme:1064
5fd6487e0d3001ac301223f9,franz64,52,Abstact Strategy:1009,Real-time:1037
5fd6487e0d3001ac301223fa,nagawa hirokazu,44,Medical:2145,Fighting:1046
5fd6487e0d3001ac301223fb,t_s_sullivan,42,Deduction:1039,Educational:1094
5fd6487e0d3001ac301223fc,okosp,59,Fantasy:1010,Fighting:1046
5fd6487e0d3001ac301223fd,xoff,63,Fighting:1046,Number:1098
5fd6487e0d3001ac301223fe,le jedi fou,50,Travel:1097,Book:1117
5fd6487e0d3001ac301223ff,arixius,29,Spies/Secret Agents:1081,Fantasy:1010
5fd6487e0d3001ac30122400,notanseladams,31,Exploration:1020,Economic:1021
5fd6487e0d3001ac30122401,karmic_devil,66,Territory Building:1086,Medieval:1035
5fd6487e0d3001ac30122402,jonjacobmoon,21,Fantasy:1010,Transportation:1011
5fd6487e0d3001ac30122403,bort,58,Medical:2145,Science Fiction:1016
5fd6487e0d3001ac30122404,mktacoma,36,Medical:2145,Aviation/Flight:2650
5fd6487e0d3001ac30122405,ubik,72,Sports:1038,Racing:1031
5fd6487e0d3001ac30122406,ian_d_burrell,18,Zombies:2481,Medical:2145
5fd6487e0d3001ac30122407,thetalkingstove,65,Collectible Components:1044,Action/Dexterity:1032
5fd6487e0d3001ac30122408,mummelmongo,27,Racing:1031,Print & Play:1120
5fd6487e0d3001ac30122409,pirrekurr,64,Abstact Strategy:1009,Fantasy:1010
5fd6487e0d3001ac3012240a,yamilyon,64,Puzzle:1028,Puzzle:1028
5fd6487e0d3001ac3012240b,blazetk,33,Movies/TV/Radio Theme:1064,Miniatures:1047
5fd6487e0d3001ac3012240c,gpogue,33,Bluffing:1023,Abstact Strategy:1009
5fd6487e0d3001ac3012240d,daitheflea,78,Humor:1079,Transportation:1011
5fd6487e0d3001ac3012240e,gunstherapy,50,Miniatures:1047,Card Game:1002
5fd6487e0d3001ac3012240f,thelastemperor,48,World War II: 1049,Collectible Components:1044
5fd6487e0d3001ac30122410,frunit7,64,Territory Building:1086,Novel-Based:1093
5fd6487e0d3001ac30122411,shawn082,45,Racing:1031,Educational:1094
5fd6487e0d3001ac30122412,graceless,34,Zombies:2481,Spies/Secret Agents:1081
5fd6487e0d3001ac30122413,bloody1337,47,World War II: 1049,Movies/TV/Radio Theme:1064
5fd6487e0d3001ac30122414,thebigredpony,52,Novel-Based:1093,World War II: 1049
5fd6487e0d3001ac30122415,kaledin,63,Video Game Theme:1101,Napoleonic:1051
5fd6487e0d3001ac30122416,mdornbrook,77,Economic:1021,Territory Building:1086
5fd6487e0d3001ac30122417,juniperforcella,25,Book:1117,Educational:1094
5fd6487e0d3001ac30122418,ojcall,78,Animals:1089,Travel:1097
5fd6487e0d3001ac30122419,estolan,36,Exploration:1020,Science Fiction:1016
5fd6487e0d3001ac3012241a,sabratha,33,Humor:1079,Collectible Components:1044
5fd6487e0d3001ac3012241b,canadianbacon19,28,World War II: 1049,Fantasy:1010
5fd6487e0d3001ac3012241c,chronoshift,32,Children's Game:1041,Educational:1094
5fd6487e0d3001ac3012241d,dbrubeck,58,Card Game:1002,Novel-Based:1093
5fd6487e0d3001ac3012241e,vlnci,27,Wargame:1019,Exploration:1020
5fd6487e0d3001ac3012241f,greidenb,46,Puzzle:1028,Print & Play:1120
5fd6487e0d3001ac30122420,lordofgalaxy,18,Children's Game:1041,Modern Warfare:1069
5fd6487e0d3001ac30122421,cardboardclover,38,Travel:1097,Educational:1094
5fd6487e0d3001ac30122422,lacapitana,27,Real-time:1037,Party Game:1030
5fd6487e0d3001ac30122423,joeaverage,54,Negotiation:1026,Animals:1089
5fd6487e0d3001ac30122424,chlikaflok,21,Science Fiction:1016,Bluffing:1023
5fd6487e0d3001ac30122425,theblib,27,Exploration:1020,Adventure:1022
5fd6487e0d3001ac30122426,evanmistur,19,Deduction:1039,Medical:2145
5fd6487e0d3001ac30122427,poskasto,68,Humor:1079,Memory:1045
5fd6487e0d3001ac30122428,blackemperor,72,Print & Play:1120,Science Fiction:1016
5fd6487e0d3001ac30122429,sheila42oneill,75,Science Fiction:1016,Travel:1097
5fd6487e0d3001ac3012242a,teetuz,78,Economic:1021,Murder/Mystery:1040
5fd6487e0d3001ac3012242b,arkanejel,62,Animals:1089,Book:1117
5fd6487e0d3001ac3012242c,hexijester,53,Spies/Secret Agents:1081,Video Game Theme:1101
5fd6487e0d3001ac3012242d,billy_rpg,74,Economic:1021,Exploration:1020
5fd6487e0d3001ac3012242e,edmonton911,50,Aviation/Flight:2650,Napoleonic:1051
5fd6487e0d3001ac3012242f,linguistfromhell,49,World War II: 1049,Memory:1045
5fd6487e0d3001ac30122430,laerthes,70,Fantasy:1010,Miniatures:1047
5fd6487e0d3001ac30122431,sheezta,64,Racing:1031,Territory Building:1086
5fd6487e0d3001ac30122432,pegasus65,35,Economic:1021,Wargame:1019
5fd6487e0d3001ac30122433,the diamond geezer,22,Real-time:1037,Educational:1094
5fd6487e0d3001ac30122434,scevola,68,Napoleonic:1051,Bluffing:1023
5fd6487e0d3001ac30122435,mbgalarneau,73,Action/Dexterity:1032,Puzzle:1028
5fd6487e0d3001ac30122436,massyet,26,Movies/TV/Radio Theme:1064,Action/Dexterity:1032
5fd6487e0d3001ac30122437,elrond3737,49,Puzzle:1028,Number:1098
5fd6487e0d3001ac30122438,aliasadam,35,Napoleonic:1051,Economic:1021
5fd6487e0d3001ac30122439,dsmitty,35,Action/Dexterity:1032,Murder/Mystery:1040
5fd6487e0d3001ac3012243a,zeo212,20,Transportation:1011,Trains:1034
5fd6487e0d3001ac3012243b,3ripmav,62,Animals:1089,Party Game:1030
5fd6487e0d3001ac3012243c,knollusk,19,Collectible Components:1044,Dice:1017
5fd6487e0d3001ac3012243d,randy heller,78,Murder/Mystery:1040,Educational:1094
5fd6487e0d3001ac3012243e,af01,47,Modern Warfare:1069,Real-time:1037
5fd6487e0d3001ac3012243f,slugger,41,Economic:1021,Movies/TV/Radio Theme:1064
5fd6487e0d3001ac30122440,txmomof3boyz,49,Trains:1034,Number:1098
5fd6487e0d3001ac30122441,stebbi57,57,Humor:1079,Memory:1045
5fd6487e0d3001ac30122442,panzermkv,44,Travel:1097,Science Fiction:1016
5fd6487e0d3001ac30122443,tkissack,38,Modern Warfare:1069,Card Game:1002
5fd6487e0d3001ac30122444,flyer,36,Movies/TV/Radio Theme:1064,Racing:1031
5fd6487e0d3001ac30122445,vudujoie,80,Exploration:1020,Deduction:1039
5fd6487e0d3001ac30122446,superpcs,23,Wargame:1019,Print & Play:1120
5fd6487e0d3001ac30122447,moondust76,59,Racing:1031,Bluffing:1023
5fd6487e0d3001ac30122448,fridberg,47,Card Game:1002,Abstact Strategy:1009
5fd6487e0d3001ac30122449,casinok78,43,Fighting:1046,World War II: 1049
5fd6487e0d3001ac3012244a,johann1947,71,Travel:1097,Bluffing:1023
5fd6487e0d3001ac3012244b,eifelmartin,57,Children's Game:1041,Memory:1045
5fd6487e0d3001ac3012244c,emma4,62,Novel-Based:1093,Miniatures:1047
5fd6487e0d3001ac3012244d,cluegirl,35,Science Fiction:1016,Travel:1097
5fd6487e0d3001ac3012244e,gxam,24,Educational:1094,Children's Game:1041
5fd6487e0d3001ac3012244f,pipeweed,72,Abstact Strategy:1009,Napoleonic:1051
5fd6487e0d3001ac30122450,zarkenee,38,Card Game:1002,Travel:1097
5fd6487e0d3001ac30122451,trojal,51,Spies/Secret Agents:1081,Fighting:1046
5fd6487e0d3001ac30122452,fuzzysilk,58,Trains:1034,Science Fiction:1016
5fd6487e0d3001ac30122453,mgreen02,63,Modern Warfare:1069,Real-time:1037
5fd6487e0d3001ac30122454,remigijus,37,Word-game:1025,Negotiation:1026
5fd6487e0d3001ac30122455,ernus,49,Medieval:1035,Number:1098
5fd6487e0d3001ac30122456,gialaroc,70,Spies/Secret Agents:1081,Dice:1017
5fd6487e0d3001ac30122457,papiklfish,60,Movies/TV/Radio Theme:1064,Book:1117
5fd6487e0d3001ac30122458,ap0ne,67,Adventure:1022,Print & Play:1120
5fd6487e0d3001ac30122459,phiv,72,Modern Warfare:1069,Fighting:1046
5fd6487e0d3001ac3012245a,marcf,55,Bluffing:1023,Modern Warfare:1069
5fd6487e0d3001ac3012245b,puffin13,35,Bluffing:1023,Spies/Secret Agents:1081
5fd6487e0d3001ac3012245c,dingo154,18,Educational:1094,Spies/Secret Agents:1081
5fd6487e0d3001ac3012245d,blackeagle30,58,Abstact Strategy:1009,Movies/TV/Radio Theme:1064
5fd6487e0d3001ac3012245e,yesnomaybe,34,World War II: 1049,Dice:1017
5fd6487e0d3001ac3012245f,robulous,71,Party Game:1030,Medieval:1035
5fd6487e0d3001ac30122460,dukeboy,65,Abstact Strategy:1009,Modern Warfare:1069
5fd6487e0d3001ac30122461,madplato,70,Puzzle:1028,Economic:1021
5fd6487e0d3001ac30122462,flynryan,28,Economic:1021,Adventure:1022
5fd6487e0d3001ac30122463,svenusling,45,Action/Dexterity:1032,Word-game:1025
5fd6487e0d3001ac30122464,skinzniks,69,Miniatures:1047,Racing:1031
5fd6487e0d3001ac30122465,str1anger,76,Science Fiction:1016,Children's Game:1041
5fd6487e0d3001ac30122466,ahnenspross,24,Deduction:1039,Abstact Strategy:1009
5fd6487e0d3001ac30122467,teach4u,55,Ancient:1050,Puzzle:1028
5fd6487e0d3001ac30122468,pumpkincoach,71,Sports:1038,Economic:1021
5fd6487e0d3001ac30122469,katja,55,Territory Building:1086,Modern Warfare:1069
5fd6487e0d3001ac3012246a,samoprd22,69,Puzzle:1028,Napoleonic:1051
