name,category_1,category_2
Muse: Awakenings,Card Game:1002,Humor:1079
Streams,Math:1104,Number:1098
Bowl Bound,Dice:1017,Sports:1038
Kribbeln,Dice:1017,null
Dragon Rampant: Fantasy Wargaming Rules,Book:1117,Fantasy:1010
Santa Cruz 1797,Napoleonic:1051,Wargame:1019
Qwixx: Das Duell,Dice:1017,null
Schatz der Drachen,Card Game:1002,Children's Game:1041
Pathogenesis,Card Game:1002,Educational:1094
Lemminge,Animals:1089,Card Game:1002
Trek 12,Adventure:1022,Dice:1017
Remember Our Trip,Abstract Strategy:1009,Travel:1097
Continental Divide,Economic:1021,Trains:1034
IceTowers,Abstract Strategy:1009,Real-time:1037
Zapp Zerapp,Action / Dexterity:1032,Children's Game:1041
Belote,Card Game:1002,null
Milito,Ancient:1050,Card Game:1002
Dungeons & Dragons Miniatures Game (Second Edition),Collectible Components:1044,Dice:1017
Naruto Shippuden Deck-Building Game,Card Game:1002,Movies / TV / Radio theme:1064
Napoleon at Leipzig (Fifth Edition),Napoleonic:1051,Wargame:1019
Empire Express,Economic:1021,Trains:1034
La Fallera Calavera: el joc de cartes valencià,Bluffing:1023,Card Game:1002
NFL Strategy,Sports:1038,null
Saga of the Northmen,Medieval:1035,Wargame:1019
Why Did the Chicken...?,Humor:1079,Party Game:1030
"Cannes: Stars, Scripts and Screens",Economic:1021,Movies / TV / Radio theme:1064
Spies!,Negotiation:1026,Spies/Secret Agents:1081
Festo!,Bluffing:1023,Deduction:1039
"Kasserine: Rommel's Battle for Tunisia, 1943",Wargame:1019,World War II:1049
Hoax (Second Edition),Bluffing:1023,Deduction:1039
Hordes: High Command,Card Game:1002,null
Israeli Air Force Leader,Aviation / Flight:2650,Modern Warfare:1069
Iron Tide: Panzers in the Ardennes,Wargame:1019,World War II:1049
Wool Rules,Animals:1089,Dice:1017
Cookie Box,Action / Dexterity:1032,Memory:1045
Gnostica,Abstract Strategy:1009,Card Game:1002
The Hobbit: The Desolation of Smaug,Adventure:1022,Dice:1017
Itchy Monkey,Abstract Strategy:1009,Animals:1089
Walls of York,City Building:1029,Puzzle:1028
Start Player: A Kinda Collectible Card Game,Card Game:1002,Collectible Components:1044
Andromeda,Dice:1017,Exploration:1020
Graffiti,Educational:1094,Party Game:1030
Senshi,Abstract Strategy:1009,null
Codex: Card-Time Strategy – Starter Set,Card Game:1002,Fantasy:1010
La Bataille de Corunna-Espagnol,Napoleonic:1051,Wargame:1019
Ranger,Modern Warfare:1069,Wargame:1019
Megastar,Card Game:1002,Music:1054
Mutiny!,Fantasy:1010,Pirates:1090
Redemption,Card Game:1002,Collectible Components:1044
Warriors of Japan: A Country Aflame 1335-1339,Medieval:1035,Wargame:1019
Drive on Stalingrad: Battle for Southern Russia Game,Wargame:1019,World War II:1049
"Tara, Seat of Kings",Abstract Strategy:1009,null
LOTS: A Competitive Tower Building Game,Abstract Strategy:1009,Action / Dexterity:1032
Guadalcanal,Nautical:1008,Wargame:1019
Prime Time,Economic:1021,Movies / TV / Radio theme:1064
Hack Trick: It's Hacking Time,Card Game:1002,Deduction:1039
Hedgehog Roll,Action / Dexterity:1032,Animals:1089
"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",Wargame:1019,World War II:1049
Et Toque!,Party Game:1030,null
Warfighter Shadow War: The Modern Night Combat Card Game,Card Game:1002,Modern Warfare:1069
Knights of Camelot,Adventure:1022,Fantasy:1010
Brewin' USA,Industry / Manufacturing:1088,Territory Building:1086
"1565, St. Elmo's Pay",Card Game:1002,Renaissance:1070
Ta-Da!,null,null
Malifaux Rules Manual,Book:1117,Horror:1024
Gato Leader,Nautical:1008,Wargame:1019
Palabra,Card Game:1002,Word Game:1025
Guadalcanal: Semper Fi Series,Wargame:1019,World War II:1049
Preference,Card Game:1002,null
Kittens in a Blender,Animals:1089,Card Game:1002
World in War: Combined Arms 1939-1945,Miniatures:1047,Wargame:1019
Ubongo Junior,Puzzle:1028,Real-time:1037
Cargolino Valentino,Animals:1089,Bluffing:1023
Vanished Planet,Economic:1021,Science Fiction:1016
Planecrafters,Aviation / Flight:2650,Card Game:1002
WeyKick on Ice,Action / Dexterity:1032,Sports:1038
Spice Merchant,Card Game:1002,Economic:1021
Great War at Sea 2: The North & Baltic Seas,Nautical:1008,Wargame:1019
Invasion 1066: The Battle of Hastings,Medieval:1035,Wargame:1019
Weapons & Warriors: Castle Combat Set,Action / Dexterity:1032,Children's Game:1041
Star Fleet Battles (Commander's Edition),Movies / TV / Radio theme:1064,Science Fiction:1016
The Farming Game,Economic:1021,Farming:1013
Invasion Sicily,Wargame:1019,World War II:1049
Rescue Polar Bears,Animals:1089,Environmental:1084
Tank on Tank: East Front,Wargame:1019,World War II:1049
Maniacal,Comic Book / Strip:1116,null
Ave Cesar,Ancient:1050,Card Game:1002
Rummikub Twist,Abstract Strategy:1009,Number:1098
Team UP!,Abstract Strategy:1009,Industry / Manufacturing:1088
The Doge Ship,Economic:1021,Renaissance:1070
Rush Hour Scramble,Puzzle:1028,Transportation:1011
Volleyball High,Card Game:1002,Sports:1038
Manager,Economic:1021,null
Top That!,Action / Dexterity:1032,Children's Game:1041
