category2,role,category1,username,timestamp,name,admin,description
Trains:1034,influencer,Travel:1097,ajbmaster,2021-01-22 19:22:11.449,Pisammare,ajbmaster,no description
Territory Building:1086,normalUser,Video Game Theme:1101,t_s_sullivan,2021-01-22 19:21:55.331,Pisammare,t_s_sullivan,no description
Trains:1034,normalUser,Transportation:1011,ojcall,2021-01-22 19:21:55.001,Quelli di sempre,no description,ojcall
Bluffing:1023,influencer,Miniatures:1047,laerthes,2021-01-22 19:22:02.217,Quelli di sempre,no description,laerthes
Movies/TV/Radio Theme:1064,normalUser,Educational:1094,pegasus65,2021-01-22 19:21:55.873,Pisammare,pegasus65,no description
Party Game:1030,normalUser,Wargame:1019,king kazma,2021-01-22 19:22:01.155,Bel gruppo,king kazma,no description
Memory:1045,normalUser,Print & Play:1120,toregualto,2021-01-22 19:22:04.319,Gli sfollati,toregualto,no description
Wargame:1019,influencer,Book:1117,deathmagus,2021-01-22 19:22:10.98,Pisammare,deathmagus,no description
Puzzle:1028,normalUser,Puzzle:1028,cloethom,2021-01-22 19:22:00.777,Pisammare,cloethom,no description
Spies/Secret Agents:1081,normalUser,Novel-Based:1093,tayllerok,2021-01-22 19:22:02.35,Bel gruppo,tayllerok,no description
World War II: 1049,normalUser,Transportation:1011,nicbfromoz,2021-01-22 19:21:59.528,Pisammare,nicbfromoz,no description
Aviation/Flight:2650,normalUser,Negotiation:1026,nehilism,2021-01-22 19:21:54.061,Gli sfollati,nehilism,no description
Card Game:1002,normalUser,Miniatures:1047,drjozzo,2021-01-22 19:22:00.916,Quelli di sempre,no description,drjozzo
Action/Dexterity:1032,normalUser,Fighting:1046,dominicbasson,2021-01-22 19:21:57.27,Bel gruppo,dominicbasson,no description
Racing:1031,normalUser,Card Game:1002,zethsun,2021-01-22 19:21:58.264,Cimone 2k16,zethsun,no description
Transportation:1011,normalUser,Deduction:1039,artemysya,2021-01-22 19:22:05.688,Pisammare,artemysya,no description
Puzzle:1028,normalUser,Abstact Strategy:1009,herotime,2021-01-22 19:22:03.353,Gli sfollati,herotime,no description
Travel:1097,normalUser,Medieval:1035,gjc82,2021-01-22 19:22:05.998,Cimone 2k16,gjc82,no description
Puzzle:1028,normalUser,Party Game:1030,ghwhite,2021-01-22 19:22:10.021,Cimone 2k16,ghwhite,no description
Number:1098,normalUser,Word-game:1025,xelo5,2021-01-22 19:21:58.727,Bel gruppo,xelo5,no description
Novel-Based:1093,normalUser,Trains:1034,junipercreates,2021-01-22 19:22:05.102,Quelli di sempre,no description,junipercreates
Dice:1017,normalUser,Educational:1094,dgfitch,2021-01-22 19:21:57.754,Gli sfollati,dgfitch,no description
World War II: 1049,normalUser,Party Game:1030,dr_hazard86,2021-01-22 19:22:13.193,Bel gruppo,dr_hazard86,no description
Territory Building:1086,normalUser,Sports:1038,hmspeer,2021-01-22 19:22:03.259,Cimone 2k16,hmspeer,no description
Modern Warfare:1069,normalUser,Puzzle:1028,moggerdude,2021-01-22 19:22:08.132,Pisammare,moggerdude,no description
Aviation/Flight:2650,moderator,Movies/TV/Radio Theme:1064,fallouthun,2021-01-22 19:22:11.474,Cimone 2k16,fallouthun,no description
Ancient:1050,normalUser,Action/Dexterity:1032,abhorash_chile,2021-01-22 19:22:07.286,Cimone 2k16,abhorash_chile,no description
Science Fiction:1016,normalUser,Sports:1038,biffgames,2021-01-22 19:22:01.791,Cimone 2k16,biffgames,no description
Miniatures:1047,normalUser,Novel-Based:1093,poit,2021-01-22 19:22:11.746,Cimone 2k16,poit,no description
Book:1117,normalUser,Medieval:1035,lvampa,2021-01-22 19:22:07.845,Cimone 2k16,lvampa,no description
Animals:1089,normalUser,Ancient:1050,kodamera,2021-01-22 19:22:11.787,Quelli di sempre,no description,kodamera
Economic:1021,normalUser,Real-time:1037,hansolosuncle,2021-01-22 19:21:54.035,Gli sfollati,hansolosuncle,no description
Aviation/Flight:2650,normalUser,Exploration:1020,alekerickson,2021-01-22 19:22:10.915,Pisammare,alekerickson,no description
Aviation/Flight:2650,normalUser,Exploration:1020,alekerickson,2021-01-22 19:22:00.902,Quelli di sempre,no description,alekerickson
Real-time:1037,normalUser,Print & Play:1120,anconed,2021-01-22 19:22:02.935,Quelli di sempre,no description,anconed
Medical:2145,influencer,Zombies:2481,mrbrugat,2021-01-22 19:22:07.533,Gli sfollati,mrbrugat,no description
Wargame:1019,normalUser,Fantasy:1010,jamit42,2021-01-22 19:22:08.229,Pisammare,jamit42,no description
Animals:1089,normalUser,Adventure:1022,kelroy was here,2021-01-22 19:21:59.114,Gli sfollati,kelroy was here,no description
Fantasy:1010,normalUser,Dice:1017,paulabatton,2021-01-22 19:21:54.103,Gli sfollati,paulabatton,no description
Humor:1079,normalUser,Dice:1017,nkfloofiepoof,2021-01-22 19:22:06.026,Cimone 2k16,nkfloofiepoof,no description
Exploration:1020,normalUser,Trains:1034,marcel1986,2021-01-22 19:22:07.911,Bel gruppo,marcel1986,no description
Medical:2145,normalUser,Educational:1094,fiveaside,2021-01-22 19:21:57.874,Gli sfollati,fiveaside,no description
Medieval:1035,normalUser,Ancient:1050,mickrig_schwarz,2021-01-22 19:22:07.078,Cimone 2k16,mickrig_schwarz,no description
Children's Game:1041,influencer,Murder/Mystery:1040,airsonist,2021-01-22 19:21:58.095,Bel gruppo,airsonist,no description
Memory:1045,normalUser,Ancient:1050,smartermonkey,2021-01-22 19:22:03.014,Pisammare,smartermonkey,no description
Medieval:1035,normalUser,Movies/TV/Radio Theme:1064,tomq04,2021-01-22 19:22:07.858,Gli sfollati,tomq04,no description
Bluffing:1023,normalUser,Transportation:1011,dogsbondgame,2021-01-22 19:21:57.515,Pisammare,dogsbondgame,no description
Video Game Theme:1101,normalUser,Number:1098,jtmariner,2021-01-22 19:22:12.561,Gli sfollati,jtmariner,no description
Action/Dexterity:1032,normalUser,Puzzle:1028,iansbach,2021-01-22 19:22:05.274,Gli sfollati,iansbach,no description
Medieval:1035,normalUser,Murder/Mystery:1040,vascoan,2021-01-22 19:21:56.159,Pisammare,vascoan,no description
Children's Game:1041,normalUser,Spies/Secret Agents:1081,hyperchaotic,2021-01-22 19:22:03.15,Pisammare,hyperchaotic,no description
Puzzle:1028,normalUser,Action/Dexterity:1032,zmoneaux,2021-01-22 19:21:59.579,Gli sfollati,zmoneaux,no description
Fighting:1046,influencer,Territory Building:1086,vannostrand,2021-01-22 19:21:57.082,Quelli di sempre,no description,vannostrand
Murder/Mystery:1040,normalUser,Miniatures:1047,kittymike21,2021-01-22 19:21:54.681,Bel gruppo,kittymike21,no description
Memory:1045,normalUser,Medieval:1035,slimmittens,2021-01-22 19:21:55.833,Cimone 2k16,slimmittens,no description
Educational:1094,normalUser,Humor:1079,mrmike555,2021-01-22 19:22:09.35,Cimone 2k16,mrmike555,no description
Humor:1079,normalUser,Print & Play:1120,gamer750315,2021-01-22 19:22:03.218,Bel gruppo,gamer750315,no description
Humor:1079,normalUser,Collectible Components:1044,ithi,2021-01-22 19:21:58.009,Pisammare,ithi,no description
Novel-Based:1093,normalUser,Transportation:1011,buzibee508,2021-01-22 19:21:55.314,Pisammare,buzibee508,no description
Movies/TV/Radio Theme:1064,influencer,Party Game:1030,nerdzgarage,2021-01-22 19:22:01.535,Gli sfollati,nerdzgarage,no description
Miniatures:1047,normalUser,Bluffing:1023,bayescrusader,2021-01-22 19:22:07.465,Gli sfollati,bayescrusader,no description
Card Game:1002,normalUser,Science Fiction:1016,oldshanghai,2021-01-22 19:22:01.884,Cimone 2k16,oldshanghai,no description
Travel:1097,normalUser,World War II: 1049,jerm!,2021-01-22 19:22:05.716,Gli sfollati,jerm!,no description
Puzzle:1028,influencer,Modern Warfare:1069,tinfox,2021-01-22 19:21:58.415,Pisammare,tinfox,no description
Fighting:1046,influencer,Party Game:1030,duchtil,2021-01-22 19:22:01.169,Pisammare,duchtil,no description
Racing:1031,influencer,Number:1098,lunawolvesman,2021-01-22 19:21:53.415,Quelli di sempre,no description,lunawolvesman
Territory Building:1086,normalUser,Deduction:1039,xnickbaranx,2021-01-22 19:21:54.668,Gli sfollati,xnickbaranx,no description
Exploration:1020,normalUser,Fighting:1046,tobius the beard,2021-01-22 19:22:06.403,Gli sfollati,tobius the beard,no description
Party Game:1030,normalUser,Card Game:1002,metales_ramirez,2021-01-22 19:21:53.551,Quelli di sempre,no description,metales_ramirez
Spies/Secret Agents:1081,normalUser,Dice:1017,bioleta,2021-01-22 19:21:53.942,Pisammare,bioleta,no description
Medieval:1035,normalUser,Party Game:1030,serenor,2021-01-22 19:22:00.663,Cimone 2k16,serenor,no description
Fighting:1046,influencer,Medieval:1035,pcbtoxin,2021-01-22 19:22:00.126,Quelli di sempre,no description,pcbtoxin
Puzzle:1028,normalUser,Action/Dexterity:1032,lillylynx64,2021-01-22 19:22:04.25,Cimone 2k16,lillylynx64,no description
Murder/Mystery:1040,normalUser,Negotiation:1026,alienpuppies,2021-01-22 19:21:54.007,Gli sfollati,alienpuppies,no description
Fighting:1046,normalUser,Negotiation:1026,vicglorious,2021-01-22 19:22:05.155,Gli sfollati,vicglorious,no description
Miniatures:1047,normalUser,World War II: 1049,thejsho,2021-01-22 19:21:59.049,Bel gruppo,thejsho,no description
Puzzle:1028,normalUser,Zombies:2481,davidrodmix,2021-01-22 19:22:05.619,Quelli di sempre,no description,davidrodmix
Fighting:1046,normalUser,Sports:1038,oberchef,2021-01-22 19:22:00.889,Gli sfollati,oberchef,no description
Napoleonic:1051,normalUser,Exploration:1020,brother3wright,2021-01-22 19:22:05.782,Quelli di sempre,no description,brother3wright
Ancient:1050,normalUser,Movies/TV/Radio Theme:1064,dionysus1984,2021-01-22 19:21:53.863,Pisammare,dionysus1984,no description
Dice:1017,normalUser,Bluffing:1023,marlynd,2021-01-22 19:22:04.496,Gli sfollati,marlynd,no description
Humor:1079,normalUser,World War II: 1049,atsuatsu,2021-01-22 19:22:02.161,Quelli di sempre,no description,atsuatsu
Napoleonic:1051,normalUser,Movies/TV/Radio Theme:1064,lordtoast91,2021-01-22 19:22:01.857,Pisammare,lordtoast91,no description
Medical:2145,influencer,Print & Play:1120,madmanw,2021-01-22 19:22:06.053,Bel gruppo,madmanw,no description
World War II: 1049,normalUser,Medieval:1035,bshazel,2021-01-22 19:21:59.75,Pisammare,bshazel,no description
Party Game:1030,normalUser,Word-game:1025,alifaghihy,2021-01-22 19:21:59.363,Cimone 2k16,alifaghihy,no description
Racing:1031,normalUser,Humor:1079,briguy7727,2021-01-22 19:22:07.765,Gli sfollati,briguy7727,no description
Travel:1097,normalUser,Economic:1021,lxnomadxl,2021-01-22 19:22:09.309,Quelli di sempre,no description,lxnomadxl
Adventure:1022,normalUser,Bluffing:1023,khariyap,2021-01-22 19:22:02.148,Gli sfollati,khariyap,no description
Adventure:1022,normalUser,Racing:1031,need4den,2021-01-22 19:22:07.87,Gli sfollati,need4den,no description
Economic:1021,normalUser,Abstact Strategy:1009,zach564344,2021-01-22 19:21:57.795,Gli sfollati,zach564344,no description
Educational:1094,normalUser,Territory Building:1086,garfieldcut,2021-01-22 19:22:11.13,Pisammare,garfieldcut,no description
Spies/Secret Agents:1081,normalUser,Print & Play:1120,retsnimel,2021-01-22 19:22:01.066,Pisammare,retsnimel,no description
Medical:2145,normalUser,Animals:1089,matt1990,2021-01-22 19:22:09.969,Gli sfollati,matt1990,no description
Movies/TV/Radio Theme:1064,normalUser,Napoleonic:1051,arcticnights,2021-01-22 19:21:53.494,Bel gruppo,arcticnights,no description
Book:1117,normalUser,Animals:1089,const12,2021-01-22 19:21:57.435,Bel gruppo,const12,no description
Video Game Theme:1101,normalUser,Collectible Components:1044,abraham121284,2021-01-22 19:21:58.374,Pisammare,abraham121284,no description
Abstact Strategy:1009,normalUser,Bluffing:1023,andreq,2021-01-22 19:22:12.763,Cimone 2k16,andreq,no description
Fighting:1046,normalUser,Miniatures:1047,darkestknightz,2021-01-22 19:21:59.788,Bel gruppo,darkestknightz,no description
Action/Dexterity:1032,normalUser,Racing:1031,yourfriendbenmoy,2021-01-22 19:21:58.496,Gli sfollati,yourfriendbenmoy,no description
Economic:1021,normalUser,Adventure:1022,daewezzy,2021-01-22 19:21:55.453,Gli sfollati,daewezzy,no description
Trains:1034,normalUser,Word-game:1025,lorddra,2021-01-22 19:22:05.393,Bel gruppo,lorddra,no description
Medieval:1035,normalUser,Murder/Mystery:1040,lkcarr,2021-01-22 19:22:03.443,Cimone 2k16,lkcarr,no description
Collectible Components:1044,normalUser,Modern Warfare:1069,mrn0mbre,2021-01-22 19:22:10.577,Bel gruppo,mrn0mbre,no description
Movies/TV/Radio Theme:1064,normalUser,Murder/Mystery:1040,kubolakuba,2021-01-22 19:22:03.804,Cimone 2k16,kubolakuba,no description
Ancient:1050,normalUser,Real-time:1037,adiczek,2021-01-22 19:22:04.931,Cimone 2k16,adiczek,no description
Exploration:1020,normalUser,Zombies:2481,emofes,2021-01-22 19:21:55.689,Pisammare,emofes,no description
Ancient:1050,influencer,Murder/Mystery:1040,anlupo89,2021-01-22 19:22:11.649,Gli sfollati,anlupo89,no description
