category2,role,category1,username,text,timestamp,title,idArt
Transportation:1011,normalUser,Sports:1038,nivelen,Tutto bene?,2021-01-22 16:27:39.635,Titolo,1
Humor:1079,normalUser,Exploration:1020,ashladar,Che fate?,2021-01-22 16:27:39.393,Titolo,1
Ancient:1050,normalUser,Deduction:1039,jyotipar,Tutto bene?,2021-01-22 16:27:38.615,Titolo,1
Wargame:1019,normalUser,Aviation/Flight:2650,antoninvs,Ah incredibile,2021-01-22 16:27:37.68,Titolo,1
Number:1098,normalUser,Humor:1079,boushh,Ah incredibile,2021-01-22 16:27:36.935,Titolo,1
Movies/TV/Radio Theme:1064,normalUser,Collectible Components:1044,admw,Che fate?,2021-01-22 16:27:36.191,Titolo,1
Video Game Theme:1101,normalUser,Travel:1097,lyzaru,Ah incredibile,2021-01-22 16:27:35.895,Titolo,1
Print & Play:1120,normalUser,Puzzle:1028,markswoods,Sono ioo,2021-01-22 16:27:35.704,Titolo,1
Transportation:1011,normalUser,Adventure:1022,chihuah,Ah incredibile,2021-01-22 16:27:35.509,Titolo,1
Murder/Mystery:1040,normalUser,Number:1098,cobruins,Ah davvero,2021-01-22 16:27:35.309,Titolo,1
Number:1098,normalUser,Wargame:1019,burntcoffee,Sono ioo,2021-01-22 16:27:35.092,Titolo,1
Puzzle:1028,normalUser,Aviation/Flight:2650,vegitalander,Che fate?,2021-01-22 16:27:34.868,Titolo,1
Fantasy:1010,normalUser,Sports:1038,twfilter,Tutto bene?,2021-01-22 16:27:34.236,Titolo,1
Bluffing:1023,normalUser,Adventure:1022,jentian,Post,2021-01-22 16:27:33.553,Titolo,1
Number:1098,normalUser,Modern Warfare:1069,grim_peter,Ah davvero,2021-01-22 16:27:32.958,Titolo,1
Spies/Secret Agents:1081,normalUser,Children's Game:1041,adasv2,Ci siete?,2021-01-22 16:27:32.805,Titolo,1
Miniatures:1047,normalUser,Children's Game:1041,chatlee,Ah incredibile,2021-01-22 16:27:32.644,Titolo,1
Sports:1038,normalUser,Word-game:1025,mkwg,Post,2021-01-22 16:27:32.468,Titolo,1
Fantasy:1010,influencer,Wargame:1019,silmarr,Ah incredibile,2021-01-22 16:27:32.294,Titolo,1
Memory:1045,influencer,Print & Play:1120,matthew2600,Ah davvero,2021-01-22 16:27:31.692,Titolo,1
Animals:1089,normalUser,Travel:1097,dreadpiratewes,Ah davvero,2021-01-22 16:27:31.46,Titolo,1
Miniatures:1047,influencer,Dice:1017,nnillinn,Ah davvero,2021-01-22 16:27:30.875,Titolo,1
Number:1098,normalUser,Racing:1031,wk061480,Che fate?,2021-01-22 16:27:29.996,Titolo,1
Miniatures:1047,normalUser,Racing:1031,sir thoms,Post,2021-01-22 16:27:29.778,Titolo,1
Bluffing:1023,normalUser,Negotiation:1026,dcjs,Che fate?,2021-01-22 16:27:29.586,Titolo,1
Number:1098,normalUser,Collectible Components:1044,heraclitus,Post,2021-01-22 16:27:29.397,Titolo,1
Real-time:1037,normalUser,Economic:1021,radek_nalecz,Tutto bene?,2021-01-22 16:27:29.191,Titolo,1
Print & Play:1120,normalUser,Trains:1034,davidjames,Ah davvero,2021-01-22 16:27:28.706,Titolo,1
Medical:2145,normalUser,Economic:1021,corniel,Sono ioo,2021-01-22 16:27:28.519,Titolo,1
Aviation/Flight:2650,normalUser,Puzzle:1028,crispinthegoblinking,Ah incredibile,2021-01-22 16:27:28.333,Titolo,1
Exploration:1020,normalUser,Word-game:1025,loxos,Sono ioo,2021-01-22 16:27:28.145,Titolo,1
Puzzle:1028,normalUser,Bluffing:1023,robypetr,Tutto bene?,2021-01-22 16:27:27.945,Titolo,1
Transportation:1011,normalUser,Exploration:1020,anthi75,Post,2021-01-22 16:27:27.301,Titolo,1
Travel:1097,normalUser,Wargame:1019,enehhh,Ah davvero,2021-01-22 16:27:27.14,Titolo,1
Movies/TV/Radio Theme:1064,normalUser,Bluffing:1023,marispuz,Ci siete?,2021-01-22 16:27:26.953,Titolo,1
Real-time:1037,normalUser,Aviation/Flight:2650,sirjrcalvin,Ah incredibile,2021-01-22 16:27:26.769,Titolo,1
Science Fiction:1016,normalUser,Territory Building:1086,quarrior,Che fate?,2021-01-22 16:27:25.859,Titolo,1
Zombies:2481,normalUser,Aviation/Flight:2650,k0miss4r,Ci siete?,2021-01-22 16:27:25.546,Titolo,1
Memory:1045,normalUser,Napoleonic:1051,waerjak,Ah davvero,2021-01-22 16:27:25.225,Titolo,1
Sports:1038,normalUser,Fighting:1046,aolethe,Post,2021-01-22 16:27:24.948,Titolo,1
Card Game:1002,normalUser,Novel-Based:1093,odarren91,Ah incredibile,2021-01-22 16:27:24.631,Titolo,1
Negotiation:1026,normalUser,Novel-Based:1093,sin_fury,Che fate?,2021-01-22 16:27:24.349,Titolo,1
Science Fiction:1016,normalUser,Economic:1021,gismotic,Tutto bene?,2021-01-22 16:27:24.065,Titolo,1
Exploration:1020,normalUser,Real-time:1037,zen postman,Ah incredibile,2021-01-22 16:27:23.641,Titolo,1
Territory Building:1086,normalUser,Zombies:2481,gsracer,Sono ioo,2021-01-22 16:27:23.325,Titolo,1
Wargame:1019,normalUser,Deduction:1039,colesy,Ci siete?,2021-01-22 16:27:23.087,Titolo,1
Travel:1097,normalUser,Card Game:1002,godgefest,Sono ioo,2021-01-22 16:27:22.765,Titolo,1
Animals:1089,normalUser,Novel-Based:1093,tayzyboy,Sono ioo,2021-01-22 16:27:21.975,Titolo,1
Exploration:1020,normalUser,Card Game:1002,jidders,Ci siete?,2021-01-22 16:27:21.676,Titolo,1
Collectible Components:1044,normalUser,Trains:1034,emildia,Post,2021-01-22 16:27:21.488,Titolo,1
Ancient:1050,normalUser,Transportation:1011,st_loomis,Ci siete?,2021-01-22 16:27:21.297,Titolo,1
Transportation:1011,normalUser,Word-game:1025,ohagi,Sono ioo,2021-01-22 16:27:21.115,Titolo,1
Miniatures:1047,normalUser,Novel-Based:1093,nickgb,Sono ioo,2021-01-22 16:27:20.904,Titolo,1
Puzzle:1028,normalUser,Science Fiction:1016,tjungbauer,Ah incredibile,2021-01-22 16:27:20.707,Titolo,1
Educational:1094,normalUser,Word-game:1025,cadenc,Che fate?,2021-01-22 16:27:20.082,Titolo,1
Movies/TV/Radio Theme:1064,influencer,Word-game:1025,basho,Tutto bene?,2021-01-22 16:27:19.898,Titolo,1
Adventure:1022,normalUser,Number:1098,petitgirard123,Ci siete?,2021-01-22 16:27:19.707,Titolo,1
Novel-Based:1093,normalUser,Territory Building:1086,kxxreload,Post,2021-01-22 16:27:19.513,Titolo,1
Real-time:1037,normalUser,Collectible Components:1044,dandanrevolution,Ci siete?,2021-01-22 16:27:18.707,Titolo,1
Dice:1017,normalUser,Sports:1038,tonicoss,Sono ioo,2021-01-22 16:27:18.377,Titolo,1
Aviation/Flight:2650,normalUser,Bluffing:1023,sgt anjay,Tutto bene?,2021-01-22 16:27:18.01,Titolo,1
Card Game:1002,influencer,Number:1098,cardslab,Post,2021-01-22 16:27:17.664,Titolo,1
Modern Warfare:1069,normalUser,Sports:1038,tylrprtr,Che fate?,2021-01-22 16:27:17.472,Titolo,1
Humor:1079,normalUser,Territory Building:1086,mincewind,Ah davvero,2021-01-22 16:27:17.255,Titolo,1
Word-game:1025,normalUser,Dice:1017,souldonut,Ah incredibile,2021-01-22 16:27:17.059,Titolo,1
Memory:1045,normalUser,Novel-Based:1093,dav62,Che fate?,2021-01-22 16:27:16.841,Titolo,1
Negotiation:1026,normalUser,Modern Warfare:1069,buckeye43026,Ci siete?,2021-01-22 16:27:16.608,Titolo,1
Word-game:1025,normalUser,Napoleonic:1051,midloo,Ah incredibile,2021-01-22 16:27:16.417,Titolo,1
Party Game:1030,normalUser,Medical:2145,geodian,Ah incredibile,2021-01-22 16:27:16.227,Titolo,1
Spies/Secret Agents:1081,normalUser,Word-game:1025,mjzamani,Ah davvero,2021-01-22 16:27:16.036,Titolo,1
Sports:1038,normalUser,Wargame:1019,banoffee,Ci siete?,2021-01-22 16:27:15.843,Titolo,1
Ancient:1050,normalUser,Humor:1079,oscarbluth,Ah incredibile,2021-01-22 16:27:15.653,Titolo,1
Spies/Secret Agents:1081,normalUser,Puzzle:1028,mirelle_bastian,Sono ioo,2021-01-22 16:27:15.442,Titolo,1
World War II: 1049,normalUser,Territory Building:1086,forgewalker,Tutto bene?,2021-01-22 16:27:15.253,Titolo,1
