category2,role,category1,username,timestamp,category2-2,role-2,category1-2,username-2
Murder/Mystery:1040,normalUser,Dice:1017,alarimer,2021-01-22 19:21:12.448,Murder/Mystery:1040,normalUser,Bluffing:1023,regine
World War II: 1049,normalUser,Bluffing:1023,arthurg2004,2021-01-22 19:21:01.488,Murder/Mystery:1040,normalUser,Bluffing:1023,regine
Educational:1094,normalUser,Exploration:1020,hieule,2021-01-22 19:21:13.159,Action/Dexterity:1032,normalUser,Modern Warfare:1069,franz64
Medieval:1035,normalUser,Trains:1034,wkdd,2021-01-22 19:21:00.397,Territory Building:1086,normalUser,Video Game Theme:1101,t_s_sullivan
Abstact Strategy:1009,influencer,Party Game:1030,infernal turtle,2021-01-22 19:21:45.006,Collectible Components:1044,influencer,Memory:1045,arixius
Party Game:1030,normalUser,Science Fiction:1016,gaboredes,2021-01-22 19:21:20.619,Wargame:1019,normalUser,Card Game:1002,jonjacobmoon
Abstact Strategy:1009,normalUser,Puzzle:1028,christroyer,2021-01-22 19:21:01.817,Adventure:1022,influencer,Murder/Mystery:1040,bort
Collectible Components:1044,normalUser,Economic:1021,norat13,2021-01-22 19:21:08.361,Abstact Strategy:1009,normalUser,Animals:1089,ian_d_burrell
Book:1117,normalUser,Collectible Components:1044,redeemed277,2021-01-22 19:21:52.679,Collectible Components:1044,normalUser,Word-game:1025,yamilyon
Miniatures:1047,influencer,Children's Game:1041,kleosfan,2021-01-22 19:21:28.62,Abstact Strategy:1009,normalUser,Ancient:1050,frunit7
Dice:1017,normalUser,Deduction:1039,refusetoreject,2021-01-22 19:21:46.414,Fantasy:1010,influencer,Ancient:1050,juniperforcella
Murder/Mystery:1040,normalUser,Animals:1089,skulkerday,2021-01-22 19:21:02.984,Party Game:1030,normalUser,Zombies:2481,greidenb
Ancient:1050,normalUser,Transportation:1011,louismartin delisle7,2021-01-22 19:21:18.785,Abstact Strategy:1009,normalUser,Negotiation:1026,theblib
Spies/Secret Agents:1081,normalUser,Book:1117,billyfrog,2021-01-22 19:21:19.201,Economic:1021,normalUser,Educational:1094,evanmistur
Negotiation:1026,influencer,Deduction:1039,shergyo,2021-01-22 19:21:16.879,Negotiation:1026,normalUser,Sports:1038,hexijester
World War II: 1049,normalUser,Action/Dexterity:1032,unic0arn,2021-01-22 19:21:33.26,Fantasy:1010,normalUser,Medical:2145,vudujoie
Dice:1017,normalUser,Book:1117,peskall,2021-01-22 19:21:08.394,Wargame:1019,normalUser,Card Game:1002,robulous
Negotiation:1026,normalUser,Trains:1034,biggin,2021-01-22 19:21:08.171,Economic:1021,normalUser,Wargame:1019,ahnenspross
Modern Warfare:1069,normalUser,Puzzle:1028,mickkarnjanapun,2021-01-22 19:21:36.653,Action/Dexterity:1032,normalUser,Word-game:1025,vasquez21
