category2,role,category1,username,vote,timestamp,category2-2,name,category1-2
Deduction:1039,normalUser,Number:1098,wallauspielt,8,2021-01-22 19:28:28.269,null,"Tara, Seat of Kings",Abstract Strategy:1009
Wargame:1019,influencer,Educational:1094,fazermozg,8,2021-01-22 19:35:54.101,Word Game:1025,Palabra,Card Game:1002
Video Game Theme:1101,normalUser,Party Game:1030,cassiopey,8,2021-01-22 19:40:20.222,Economic:1021,Spice Merchant,Card Game:1002
Collectible Components:1044,normalUser,Adventure:1022,18xxrabbit,8,2021-01-22 19:36:05.284,Number:1098,Rummikub Twist,Abstract Strategy:1009
Miniatures:1047,normalUser,Puzzle:1028,traemenchaca,8,2021-01-22 20:00:57.382,Renaissance:1070,The Doge Ship,Economic:1021
Memory:1045,normalUser,Real-time:1037,mohem,8,2021-01-22 19:58:50.692,Modern Warfare:1069,Sans Alliés,Card Game:1002
Bluffing:1023,normalUser,Video Game Theme:1101,schandi,8,2021-01-22 19:57:14.283,Economic:1021,Ice Cream,Children's Game:1041
Modern Warfare:1069,influencer,Educational:1094,zarqeon,8,2021-01-22 20:00:07.515,Miniatures:1047,Flying Lead,Mafia:1033
Trains:1034,normalUser,Adventure:1022,red_wolf_uk,8,2021-01-22 19:50:02.574,Miniatures:1047,Flying Lead,Mafia:1033
Fantasy:1010,normalUser,Wargame:1019,les_jeux_en_folie,8,2021-01-22 19:37:02.638,Wargame:1019,Corteo,Political:1001
Novel-Based:1093,normalUser,Movies/TV/Radio Theme:1064,ajhiebert,8,2021-01-22 19:38:19.656,Industry / Manufacturing:1088,Mine!,Economic:1021
Sports:1038,normalUser,Science Fiction:1016,dasambi,8,2021-01-22 19:33:46.402,Industry / Manufacturing:1088,Mine!,Economic:1021
Sports:1038,normalUser,Science Fiction:1016,dasambi,8,2021-01-22 19:35:45.288,null,Pacal's Rocket,Ancient:1050
Word-game:1025,normalUser,Miniatures:1047,havelock,8,2021-01-22 19:40:11.547,World War II:1049,"Dynamo: Dunkirk,1940",Wargame:1019
Abstact Strategy:1009,normalUser,Zombies:2481,hitpointsgaming,8,2021-01-22 19:31:44.668,null,Super Circles,Card Game:1002
Novel-Based:1093,normalUser,Aviation/Flight:2650,docia,8,2021-01-22 19:30:49.583,null,Limit,Abstract Strategy:1009
Spies/Secret Agents:1081,normalUser,Card Game:1002,nightraven77,8,2021-01-22 19:56:07.472,null,Ohio,Card Game:1002
Real-time:1037,normalUser,Abstact Strategy:1009,paiorlolo,8,2021-01-22 19:57:00.211,World War II:1049,Bodyguard Overlord,Wargame:1019
Number:1098,normalUser,Card Game:1002,corsairjoe,8,2021-01-22 19:25:06.531,World War II:1049,Triumph & Fall of the Desert Fox,Wargame:1019
Exploration:1020,influencer,Humor:1079,lord_indûr,8,2021-01-22 20:03:00.896,null,Dungeon Venture,Fantasy:1010
Party Game:1030,normalUser,Word-game:1025,lebeta1,8,2021-01-22 20:03:19.031,Wargame:1019,Great Medieval Battles Bannockburn and Angora,Medieval:1035
Real-time:1037,normalUser,Racing:1031,zebrahdh,8,2021-01-22 19:36:23.364,Fantasy:1010,Storytelling,Children's Game:1041
Abstact Strategy:1009,influencer,Medieval:1035,unluckyfroggaming,8,2021-01-22 19:24:12.034,Fantasy:1010,Storytelling,Children's Game:1041
Economic:1021,normalUser,Travel:1097,hallospensa,8,2021-01-22 19:35:47.748,Memory:1045,Memorinth,Maze:1059
Bluffing:1023,normalUser,Aviation/Flight:2650,osmith78,8,2021-01-22 19:59:44.566,Card Game:1002,People-Person!,Abstract Strategy:1009
Exploration:1020,normalUser,Negotiation:1026,tabletopsauce,8,2021-01-22 20:01:24.813,Prehistoric:1036,Stack & Attack,Card Game:1002
Spies/Secret Agents:1081,normalUser,Zombies:2481,jrowens,8,2021-01-22 19:27:45.404,Fighting:1046,Spy vs Spy,Comic Book / Strip:1116
Deduction:1039,normalUser,Print & Play:1120,capn_tucker,8,2021-01-22 19:53:06.241,Bluffing:1023,Scrooge: The Board Game,Adventure:1022
Spies/Secret Agents:1081,normalUser,Trains:1034,noki15200,8,2021-01-22 19:32:51.135,Dice:1017,Dicecapades! Kerfuffle!,Children's Game:1041
Fantasy:1010,normalUser,Territory Building:1086,fluidan,8,2021-01-22 19:51:45.421,null,Vroom Vroom,Racing:1031
Print & Play:1120,normalUser,Bluffing:1023,catchsto,8,2021-01-22 20:02:37.003,Fantasy:1010,Heroes and Tricks,Deduction:1039
Movies/TV/Radio Theme:1064,normalUser,Miniatures:1047,antisanti,8,2021-01-22 19:42:26.366,null,Best of British,Trivia:1027
Murder/Mystery:1040,normalUser,Economic:1021,fugem,8,2021-01-22 19:53:07.697,Horror:1024,Creatures & Cultists,Card Game:1002
Number:1098,normalUser,Science Fiction:1016,flu1d,8,2021-01-22 19:47:28.301,Science Fiction:1016,Mad Scientist,Card Game:1002
Ancient:1050,normalUser,Card Game:1002,sebaramis14,8,2021-01-22 19:29:09.883,Wargame:1019,Up Periscope,Nautical:1008
Action/Dexterity:1032,normalUser,Educational:1094,mohoffman,8,2021-01-22 19:48:50.279,Number:1098,Quick Count,Dice:1017
Territory Building:1086,normalUser,Card Game:1002,jack of trades,8,2021-01-22 19:59:00.495,Animals:1089,Slobberin' Sam,Action / Dexterity:1032
Bluffing:1023,influencer,Trains:1034,disco_stu,8,2021-01-22 19:28:27.277,Wargame:1019,Coral Sea: Turning the Japanese Advance,Nautical:1008
Spies/Secret Agents:1081,normalUser,Adventure:1022,rickruizdana,8,2021-01-22 19:43:59.022,Miniatures:1047,Sword Lords,Fantasy:1010
Collectible Components:1044,normalUser,Dice:1017,melfius,8,2021-01-22 19:24:50.867,Electronic:1072,Letter Factory Game,Educational:1094
Sports:1038,normalUser,Children's Game:1041,labyrinthdc,8,2021-01-22 19:47:22.451,Transportation:1011,Ultimate Auto Trivia,Party Game:1030
Negotiation:1026,influencer,Novel-Based:1093,pounitus,8,2021-01-22 19:40:24.02,null,Everest,Environmental:1084
Napoleonic:1051,influencer,Children's Game:1041,adygami,8,2021-01-22 19:24:55.936,null,Life is Ruff,Economic:1021
Collectible Components:1044,influencer,Murder/Mystery:1040,dokat,8,2021-01-22 19:49:46.111,Negotiation:1026,Monopoly: Bremen,Economic:1021
Card Game:1002,moderator,Number:1098,chibistacey,8,2021-01-22 19:25:05.926,Negotiation:1026,Monopoly: Leipzig,Economic:1021
Book:1117,normalUser,World War II: 1049,rilord,8,2021-01-22 19:40:02.443,Negotiation:1026,Monopoly: München,Economic:1021
Modern Warfare:1069,normalUser,Medical:2145,cmorrel,8,2021-01-22 19:29:17.996,null,Quattuor Vincet,Abstract Strategy:1009
Collectible Components:1044,normalUser,Word-game:1025,ivdl,8,2021-01-22 20:00:20.745,null,Uri Geller's Strike!,Trivia:1027
Abstact Strategy:1009,normalUser,Aviation/Flight:2650,harryelwell,8,2021-01-22 19:24:10.324,Fantasy:1010,Princess's Court,Card Game:1002
Territory Building:1086,normalUser,Number:1098,soundsmith,8,2021-01-22 19:23:17.517,null,Mestieri,Card Game:1002
Medieval:1035,influencer,Napoleonic:1051,acidrulez,8,2021-01-22 19:31:52.348,Transportation:1011,Trade Winds: The Merchant Marine Game,Nautical:1008
Word-game:1025,normalUser,Dice:1017,lienrag99,8,2021-01-22 19:50:28.665,Negotiation:1026,Lighthouse-opoly,Economic:1021
Trains:1034,normalUser,Modern Warfare:1069,steve dubya,8,2021-01-22 19:39:36.876,null,Linx Game,Word Game:1025
Fighting:1046,influencer,Puzzle:1028,e_nichols,8,2021-01-22 19:57:14.838,Fantasy:1010,Little Noddy's Taxi Game,Children's Game:1041
Humor:1079,influencer,Negotiation:1026,nynjardin,8,2021-01-22 19:35:51.673,Korean War:1091,War Game Rules 1925-1950: Wargames Rules for All Arms Land Warfare From Platoon to Battalion Level,Fighting:1046
Transportation:1011,influencer,Humor:1079,mastermic,8,2021-01-22 19:25:50.536,null,Hexagrams,Abstract Strategy:1009
Wargame:1019,normalUser,Dice:1017,eno7,8,2021-01-22 19:47:24.073,null,Mini Double Dice,Dice:1017
Humor:1079,influencer,Book:1117,tod_13,8,2021-01-22 19:22:33.545,null,Hole in One: the Game,Trivia:1027
Card Game:1002,normalUser,Humor:1079,explorador,8,2021-01-22 19:38:51.524,null,Pikes and Muskets,Civil War:1102
Adventure:1022,normalUser,Humor:1079,rocksfallsemicolon,8,2021-01-22 19:27:34.325,Miniatures:1047,Fantz,Humor:1079
Trains:1034,normalUser,Abstact Strategy:1009,madboy001,8,2021-01-22 19:51:50.41,Fantasy:1010,Magi,Card Game:1002
Bluffing:1023,normalUser,Party Game:1030,alphapack,8,2021-01-22 19:44:37.255,null,Franklin,Movies / TV / Radio theme:1064
Bluffing:1023,normalUser,Territory Building:1086,nasper,8,2021-01-22 19:32:25.528,null,Trellis,Abstract Strategy:1009
Puzzle:1028,normalUser,Educational:1094,dveguerialb56,8,2021-01-22 19:42:37.25,null,The Land of Cotton Game,Farming:1013
Fantasy:1010,normalUser,Ancient:1050,mooby,8,2021-01-22 19:33:50.646,null,Capitan Harlock: Il Pirata dello Spazio,Science Fiction:1016
Educational:1094,normalUser,Word-game:1025,doctor spaceman,8,2021-01-22 19:37:56.775,Sports:1038,Fatti di Calcio: Soccer Strategy,Abstract Strategy:1009
Ancient:1050,normalUser,World War II: 1049,acatalan,8,2021-01-22 19:51:22.741,Real-time:1037,Med vilda gester,Party Game:1030
Negotiation:1026,normalUser,Movies/TV/Radio Theme:1064,joe73,8,2021-01-22 19:34:47.311,Sports:1038,Kaart tennis,Card Game:1002
Abstact Strategy:1009,normalUser,Transportation:1011,rollingdice_85,8,2021-01-22 19:54:59.391,Science Fiction:1016,Jetsons: Rosey the Robot Game,Movies / TV / Radio theme:1064
Children's Game:1041,influencer,Animals:1089,hotshoe918,8,2021-01-22 20:00:26.346,Negotiation:1026,Texasopoly,Economic:1021
Children's Game:1041,normalUser,Travel:1097,allanon14,8,2021-01-22 19:30:51.044,null,Cryptyc,Word Game:1025
Animals:1089,normalUser,Medieval:1035,roman2838,8,2021-01-22 19:39:59.063,Wargame:1019,Price of Glory,Miniatures:1047
Card Game:1002,normalUser,Science Fiction:1016,kgillam,8,2021-01-22 19:58:51.164,Sports:1038,Sport Teasers,Dice:1017
Deduction:1039,normalUser,Educational:1094,bomberone_911,8,2021-01-22 19:43:13.173,null,Granopoly,Economic:1021
Medical:2145,normalUser,Ancient:1050,heleni,8,2021-01-22 19:51:50.872,Memory:1045,Shrek 3-D Memory Match-Up,Children's Game:1041
Sports:1038,normalUser,Print & Play:1120,axezor,8,2021-01-22 19:41:22.192,null,Gemblo Red Stone,Abstract Strategy:1009
Deduction:1039,influencer,Word-game:1025,jeffreypaulsinclair,8,2021-01-22 19:53:18.425,Children's Game:1041,Monkey Madness,Action / Dexterity:1032
Puzzle:1028,normalUser,Action/Dexterity:1032,truerift,8,2021-01-22 19:57:10.59,Word Game:1025,Wordbattle,Dice:1017
Sports:1038,normalUser,Deduction:1039,occhioditrota,8,2021-01-22 19:31:59.992,Educational:1094,Hexapawn,Abstract Strategy:1009
Racing:1031,influencer,Print & Play:1120,madd37564,8,2021-01-22 19:51:31.628,null,Den ofrivillige spelaren,Economic:1021
Trains:1034,normalUser,Miniatures:1047,mommylego,8,2021-01-22 19:34:09.594,null,Den ofrivillige spelaren,Economic:1021
Modern Warfare:1069,normalUser,Novel-Based:1093,crrletour,8,2021-01-22 19:46:08.571,Political:1001,Le Lys et la Cocarde,Napoleonic:1051
Miniatures:1047,normalUser,Animals:1089,alexnike90,8,2021-01-22 19:30:20.124,Movies / TV / Radio theme:1064,Monopoly: Planet Earth,Economic:1021
Dice:1017,normalUser,Fighting:1046,silsary,8,2021-01-22 19:30:14.964,Comic Book / Strip:1116,Wonder Woman,Card Game:1002
Humor:1079,influencer,Collectible Components:1044,d_r_m,8,2021-01-22 19:37:10.203,Fighting:1046,Jedi Warp Duel,Card Game:1002
Word-game:1025,normalUser,Territory Building:1086,grayle84,8,2021-01-22 19:44:59.943,Fighting:1046,Kung Fusion,Card Game:1002
Book:1117,normalUser,Novel-Based:1093,jkm5054,8,2021-01-22 19:47:36.006,null,Big Fat Lies,Trivia:1027
Book:1117,normalUser,Video Game Theme:1101,mudsharkbytes,8,2021-01-22 20:02:32.833,null,Playoff Tennis,Sports:1038
Card Game:1002,normalUser,Sports:1038,bisbobble,8,2021-01-22 19:53:49.498,Wargame:1019,Fire Away,Print & Play:1120
Number:1098,normalUser,Abstact Strategy:1009,cuff535,8,2021-01-22 19:32:09.715,Science Fiction:1016,MAreenz,Print & Play:1120
Abstact Strategy:1009,normalUser,Wargame:1019,zzbrent,8,2021-01-22 19:31:23.275,null,Tempo,Card Game:1002
Medieval:1035,normalUser,Territory Building:1086,mjacks2000,8,2021-01-22 19:59:39.173,Wargame:1019,Gladiators of Rome,Ancient:1050
Negotiation:1026,normalUser,Murder/Mystery:1040,supera,8,2021-01-22 20:01:59.66,null,Chancellors,Card Game:1002
Aviation/Flight:2650,normalUser,Miniatures:1047,yvisonne,8,2021-01-22 19:25:13.914,Sports:1038,Mel Allen's Baseball Game,Electronic:1072
Spies/Secret Agents:1081,normalUser,Educational:1094,abbywill,8,2021-01-22 19:54:31.182,Travel:1097,Trail of 98,Card Game:1002
Aviation/Flight:2650,normalUser,Exploration:1020,gmtemplar,8,2021-01-22 19:40:07.635,null,Mangala,Abstract Strategy:1009
Wargame:1019,normalUser,Puzzle:1028,nerman8r,8,2021-01-22 19:49:01.805,null,Rundherum,Children's Game:1041
Book:1117,influencer,Word-game:1025,gmilitaru,8,2021-01-22 19:49:25.342,Sports:1038,Suunnistuspeli,Educational:1094
Memory:1045,normalUser,Ancient:1050,sheeptree,8,2021-01-22 19:48:56.383,Memory:1045,Tatü-Tata Das Feuerwehrspiel,Children's Game:1041
Fantasy:1010,normalUser,Abstact Strategy:1009,job_,8,2021-01-22 19:46:43.438,Children's Game:1041,Husch-Husch,Animals:1089
Territory Building:1086,normalUser,Animals:1089,fantasygate,8,2021-01-22 19:41:14.505,null,Arrondissement,Political:1001
Bluffing:1023,normalUser,Economic:1021,mandingas1,8,2021-01-22 19:23:09.383,null,Parkwächter Brunos Lieblings-Spiel,Party Game:1030
