name,admin,description,category2,name-2,category1
Pisammare,stevenivan,no description,Humor:1079,Muse: Awakenings,Card Game:1002
Bel gruppo,billyindiana,no description,Number:1098,Streams,Math:1104
Cimone 2k16,merrioa,no description,Sports:1038,Bowl Bound,Dice:1017
Gli sfollati,dspongman,no description,null,Kribbeln,Dice:1017
Quelli di sempre,jrbuczkow90},no description,Fantasy:1010,Dragon Rampant: Fantasy Wargaming Rules,Book:1117
Quelli di sempre,yeknom02},no description,Wargame:1019,Santa Cruz 1797,Napoleonic:1051
Gli sfollati,hydraphobe,no description,null,Qwixx: Das Duell,Dice:1017
Cimone 2k16,fatalcory,no description,Children's Game:1041,Schatz der Drachen,Card Game:1002
Bel gruppo,jonnyhinkleart,no description,Educational:1094,Pathogenesis,Card Game:1002
Cimone 2k16,theblueishshark,no description,Card Game:1002,Lemminge,Animals:1089
Gli sfollati,sunflowerem,no description,Dice:1017,Trek 12,Adventure:1022
Quelli di sempre,rakuda1988},no description,Travel:1097,Remember Our Trip,Abstract Strategy:1009
Gli sfollati,magdalenka,no description,Trains:1034,Continental Divide,Economic:1021
Gli sfollati,lemononmars,no description,Real-time:1037,IceTowers,Abstract Strategy:1009
Pisammare,nocto,no description,Children's Game:1041,Zapp Zerapp,Action / Dexterity:1032
Cimone 2k16,dossyvilja,no description,null,Belote,Card Game:1002
Quelli di sempre,piratedave84},no description,Card Game:1002,Milito,Ancient:1050
Cimone 2k16,sokoben,no description,Dice:1017,Dungeons & Dragons Miniatures Game (Second Edition),Collectible Components:1044
Bel gruppo,tomas pablo,no description,Movies / TV / Radio theme:1064,Naruto Shippuden Deck-Building Game,Card Game:1002
Pisammare,thediceplayer,no description,Wargame:1019,Napoleon at Leipzig (Fifth Edition),Napoleonic:1051
Quelli di sempre,phobos99},no description,Trains:1034,Empire Express,Economic:1021
Bel gruppo,agrajag4242,no description,Card Game:1002,La Fallera Calavera: el joc de cartes valencià,Bluffing:1023
Cimone 2k16,demuxer,no description,null,NFL Strategy,Sports:1038
Quelli di sempre,serranadas83},no description,Wargame:1019,Saga of the Northmen,Medieval:1035
Gli sfollati,yemajornerd,no description,Party Game:1030,Why Did the Chicken...?,Humor:1079
Pisammare,jpdemuth,no description,Movies / TV / Radio theme:1064,"Cannes: Stars, Scripts and Screens",Economic:1021
Pisammare,alanwu,no description,Spies/Secret Agents:1081,Spies!,Negotiation:1026
Pisammare,maialabreizh,no description,Deduction:1039,Festo!,Bluffing:1023
Cimone 2k16,mardocko,no description,World War II:1049,"Kasserine: Rommel's Battle for Tunisia,1943",Wargame:1019
Quelli di sempre,ahdave},no description,Deduction:1039,Hoax (Second Edition),Bluffing:1023
Quelli di sempre,tcsuares},no description,null,Hordes: High Command,Card Game:1002
Quelli di sempre,estes1712},no description,Modern Warfare:1069,Israeli Air Force Leader,Aviation / Flight:2650
Gli sfollati,abeechler27,no description,World War II:1049,Iron Tide: Panzers in the Ardennes,Wargame:1019
Quelli di sempre,bambam mlg},no description,Dice:1017,Wool Rules,Animals:1089
Cimone 2k16,rarabel,no description,Memory:1045,Cookie Box,Action / Dexterity:1032
Bel gruppo,spielimperator,no description,Card Game:1002,Gnostica,Abstract Strategy:1009
Quelli di sempre,lunawolvesman},no description,Dice:1017,The Hobbit: The Desolation of Smaug,Adventure:1022
Gli sfollati,russland3,no description,Animals:1089,Itchy Monkey,Abstract Strategy:1009
Pisammare,adygami,no description,Puzzle:1028,Walls of York,City Building:1029
Pisammare,krahenkamp,no description,Collectible Components:1044,Start Player: A Kinda Collectible Card Game,Card Game:1002
Gli sfollati,bryanmalvin,no description,Exploration:1020,Andromeda,Dice:1017
Bel gruppo,arcticnights,no description,Party Game:1030,Graffiti,Educational:1094
Pisammare,unknownlempi,no description,null,Senshi,Abstract Strategy:1009
