p
"[{""category2"":Deduction:1039,""role"":normalUser,""category1"":Number:1098,""username"":wallauspielt},{""text"":Ci siete?,""timestamp"":2021-01-22 19:28:29.058},{""category2"":null,""name"":Tara, Seat of Kings,""category1"":Abstract Strategy:1009}]"
"[{""category2"":Wargame:1019,""role"":influencer,""category1"":Educational:1094,""username"":fazermozg},{""text"":Sono ioo,""timestamp"":2021-01-22 19:35:54.528},{""category2"":Word Game:1025,""name"":Palabra,""category1"":Card Game:1002}]"
"[{""category2"":Video Game Theme:1101,""role"":normalUser,""category1"":Party Game:1030,""username"":cassiopey},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:40:20.571},{""category2"":Economic:1021,""name"":Spice Merchant,""category1"":Card Game:1002}]"
"[{""category2"":Collectible Components:1044,""role"":normalUser,""category1"":Adventure:1022,""username"":18xxrabbit},{""text"":Ah davvero,""timestamp"":2021-01-22 19:36:05.588},{""category2"":Number:1098,""name"":Rummikub Twist,""category1"":Abstract Strategy:1009}]"
"[{""category2"":Miniatures:1047,""role"":normalUser,""category1"":Puzzle:1028,""username"":traemenchaca},{""text"":Ah incredibile,""timestamp"":2021-01-22 20:00:57.685},{""category2"":Renaissance:1070,""name"":The Doge Ship,""category1"":Economic:1021}]"
"[{""category2"":Memory:1045,""role"":normalUser,""category1"":Real-time:1037,""username"":mohem},{""text"":Ci siete?,""timestamp"":2021-01-22 19:58:50.989},{""category2"":Modern Warfare:1069,""name"":Sans Alliés,""category1"":Card Game:1002}]"
"[{""category2"":Bluffing:1023,""role"":normalUser,""category1"":Video Game Theme:1101,""username"":schandi},{""text"":Sono ioo,""timestamp"":2021-01-22 19:57:14.65},{""category2"":Economic:1021,""name"":Ice Cream,""category1"":Children's Game:1041}]"
"[{""category2"":Modern Warfare:1069,""role"":influencer,""category1"":Educational:1094,""username"":zarqeon},{""text"":Sono ioo,""timestamp"":2021-01-22 20:00:07.831},{""category2"":Miniatures:1047,""name"":Flying Lead,""category1"":Mafia:1033}]"
"[{""category2"":Trains:1034,""role"":normalUser,""category1"":Adventure:1022,""username"":red_wolf_uk},{""text"":Ah davvero,""timestamp"":2021-01-22 19:50:03.049},{""category2"":Miniatures:1047,""name"":Flying Lead,""category1"":Mafia:1033}]"
"[{""category2"":Fantasy:1010,""role"":normalUser,""category1"":Wargame:1019,""username"":les_jeux_en_folie},{""text"":Sono ioo,""timestamp"":2021-01-22 19:37:03.077},{""category2"":Wargame:1019,""name"":Corteo,""category1"":Political:1001}]"
"[{""category2"":Novel-Based:1093,""role"":normalUser,""category1"":Movies/TV/Radio Theme:1064,""username"":ajhiebert},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:38:20.044},{""category2"":Industry / Manufacturing:1088,""name"":Mine!,""category1"":Economic:1021}]"
"[{""category2"":Sports:1038,""role"":normalUser,""category1"":Science Fiction:1016,""username"":dasambi},{""text"":Post,""timestamp"":2021-01-22 19:33:46.691},{""category2"":Industry / Manufacturing:1088,""name"":Mine!,""category1"":Economic:1021}]"
"[{""category2"":Sports:1038,""role"":normalUser,""category1"":Science Fiction:1016,""username"":dasambi},{""text"":Che fate?,""timestamp"":2021-01-22 19:35:45.585},{""category2"":null,""name"":Pacal's Rocket,""category1"":Ancient:1050}]"
"[{""category2"":Word-game:1025,""role"":normalUser,""category1"":Miniatures:1047,""username"":havelock},{""text"":Sono ioo,""timestamp"":2021-01-22 19:40:11.986},{""category2"":World War II:1049,""name"":Dynamo: Dunkirk, 1940,""category1"":Wargame:1019}]"
"[{""category2"":Abstact Strategy:1009,""role"":normalUser,""category1"":Zombies:2481,""username"":hitpointsgaming},{""text"":Ah davvero,""timestamp"":2021-01-22 19:31:45.064},{""category2"":null,""name"":Super Circles,""category1"":Card Game:1002}]"
"[{""category2"":Novel-Based:1093,""role"":normalUser,""category1"":Aviation/Flight:2650,""username"":docia},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:30:49.886},{""category2"":null,""name"":Limit,""category1"":Abstract Strategy:1009}]"
"[{""category2"":Spies/Secret Agents:1081,""role"":normalUser,""category1"":Card Game:1002,""username"":nightraven77},{""text"":Post,""timestamp"":2021-01-22 19:56:07.803},{""category2"":null,""name"":Ohio,""category1"":Card Game:1002}]"
"[{""category2"":Real-time:1037,""role"":normalUser,""category1"":Abstact Strategy:1009,""username"":paiorlolo},{""text"":Che fate?,""timestamp"":2021-01-22 19:57:00.516},{""category2"":World War II:1049,""name"":Bodyguard Overlord,""category1"":Wargame:1019}]"
"[{""category2"":Number:1098,""role"":normalUser,""category1"":Card Game:1002,""username"":corsairjoe},{""text"":Sono ioo,""timestamp"":2021-01-22 19:25:06.843},{""category2"":World War II:1049,""name"":Triumph & Fall of the Desert Fox,""category1"":Wargame:1019}]"
"[{""category2"":Exploration:1020,""role"":influencer,""category1"":Humor:1079,""username"":lord_indûr},{""text"":Tutto bene?,""timestamp"":2021-01-22 20:03:01.214},{""category2"":null,""name"":Dungeon Venture,""category1"":Fantasy:1010}]"
"[{""category2"":Party Game:1030,""role"":normalUser,""category1"":Word-game:1025,""username"":lebeta1},{""text"":Che fate?,""timestamp"":2021-01-22 20:03:19.534},{""category2"":Wargame:1019,""name"":Great Medieval Battles Bannockburn and Angora,""category1"":Medieval:1035}]"
"[{""category2"":Real-time:1037,""role"":normalUser,""category1"":Racing:1031,""username"":zebrahdh},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:36:23.917},{""category2"":Fantasy:1010,""name"":Storytelling,""category1"":Children's Game:1041}]"
"[{""category2"":Abstact Strategy:1009,""role"":influencer,""category1"":Medieval:1035,""username"":unluckyfroggaming},{""text"":Post,""timestamp"":2021-01-22 19:24:12.445},{""category2"":Fantasy:1010,""name"":Storytelling,""category1"":Children's Game:1041}]"
"[{""category2"":Economic:1021,""role"":normalUser,""category1"":Travel:1097,""username"":hallospensa},{""text"":Sono ioo,""timestamp"":2021-01-22 19:35:48.114},{""category2"":Memory:1045,""name"":Memorinth,""category1"":Maze:1059}]"
"[{""category2"":Bluffing:1023,""role"":normalUser,""category1"":Aviation/Flight:2650,""username"":osmith78},{""text"":Ah incredibile,""timestamp"":2021-01-22 19:59:44.986},{""category2"":Card Game:1002,""name"":People-Person!,""category1"":Abstract Strategy:1009}]"
"[{""category2"":Exploration:1020,""role"":normalUser,""category1"":Negotiation:1026,""username"":tabletopsauce},{""text"":Che fate?,""timestamp"":2021-01-22 20:01:25.277},{""category2"":Prehistoric:1036,""name"":Stack & Attack,""category1"":Card Game:1002}]"
"[{""category2"":Spies/Secret Agents:1081,""role"":normalUser,""category1"":Zombies:2481,""username"":jrowens},{""text"":Ah incredibile,""timestamp"":2021-01-22 19:27:45.808},{""category2"":Fighting:1046,""name"":Spy vs Spy,""category1"":Comic Book / Strip:1116}]"
"[{""category2"":Deduction:1039,""role"":normalUser,""category1"":Print & Play:1120,""username"":capn_tucker},{""text"":Post,""timestamp"":2021-01-22 19:53:06.606},{""category2"":Bluffing:1023,""name"":Scrooge: The Board Game,""category1"":Adventure:1022}]"
"[{""category2"":Spies/Secret Agents:1081,""role"":normalUser,""category1"":Trains:1034,""username"":noki15200},{""text"":Ah incredibile,""timestamp"":2021-01-22 19:32:51.577},{""category2"":Dice:1017,""name"":Dicecapades! Kerfuffle!,""category1"":Children's Game:1041}]"
"[{""category2"":Fantasy:1010,""role"":normalUser,""category1"":Territory Building:1086,""username"":fluidan},{""text"":Post,""timestamp"":2021-01-22 19:51:45.822},{""category2"":null,""name"":Vroom Vroom,""category1"":Racing:1031}]"
"[{""category2"":Print & Play:1120,""role"":normalUser,""category1"":Bluffing:1023,""username"":catchsto},{""text"":Ah davvero,""timestamp"":2021-01-22 20:02:37.406},{""category2"":Fantasy:1010,""name"":Heroes and Tricks,""category1"":Deduction:1039}]"
"[{""category2"":Movies/TV/Radio Theme:1064,""role"":normalUser,""category1"":Miniatures:1047,""username"":antisanti},{""text"":Ah davvero,""timestamp"":2021-01-22 19:42:26.788},{""category2"":null,""name"":Best of British,""category1"":Trivia:1027}]"
"[{""category2"":Murder/Mystery:1040,""role"":normalUser,""category1"":Economic:1021,""username"":fugem},{""text"":Ci siete?,""timestamp"":2021-01-22 19:53:08.078},{""category2"":Horror:1024,""name"":Creatures & Cultists,""category1"":Card Game:1002}]"
"[{""category2"":Number:1098,""role"":normalUser,""category1"":Science Fiction:1016,""username"":flu1d},{""text"":Ah incredibile,""timestamp"":2021-01-22 19:47:28.616},{""category2"":Science Fiction:1016,""name"":Mad Scientist,""category1"":Card Game:1002}]"
"[{""category2"":Ancient:1050,""role"":normalUser,""category1"":Card Game:1002,""username"":sebaramis14},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:29:10.177},{""category2"":Wargame:1019,""name"":Up Periscope,""category1"":Nautical:1008}]"
"[{""category2"":Action/Dexterity:1032,""role"":normalUser,""category1"":Educational:1094,""username"":mohoffman},{""text"":Che fate?,""timestamp"":2021-01-22 19:48:50.591},{""category2"":Number:1098,""name"":Quick Count,""category1"":Dice:1017}]"
"[{""category2"":Territory Building:1086,""role"":normalUser,""category1"":Card Game:1002,""username"":jack of trades},{""text"":Che fate?,""timestamp"":2021-01-22 19:59:00.813},{""category2"":Animals:1089,""name"":Slobberin' Sam,""category1"":Action / Dexterity:1032}]"
"[{""category2"":Bluffing:1023,""role"":influencer,""category1"":Trains:1034,""username"":disco_stu},{""text"":Che fate?,""timestamp"":2021-01-22 19:28:27.552},{""category2"":Wargame:1019,""name"":Coral Sea: Turning the Japanese Advance,""category1"":Nautical:1008}]"
"[{""category2"":Spies/Secret Agents:1081,""role"":normalUser,""category1"":Adventure:1022,""username"":rickruizdana},{""text"":Ci siete?,""timestamp"":2021-01-22 19:43:59.399},{""category2"":Miniatures:1047,""name"":Sword Lords,""category1"":Fantasy:1010}]"
"[{""category2"":Collectible Components:1044,""role"":normalUser,""category1"":Dice:1017,""username"":melfius},{""text"":Tutto bene?,""timestamp"":2021-01-22 19:24:51.194},{""category2"":Electronic:1072,""name"":Letter Factory Game,""category1"":Educational:1094}]"
