username,role,category1,category2
chakado,normalUser,Dice:1017,Territory Building:1086
microcline,normalUser,Spies/Secret Agents:1081,Wargame:1019
mtmertmd,normalUser,Trains:1034,Abstact Strategy:1009
regine,normalUser,Bluffing:1023,Murder/Mystery:1040
nat the nut,normalUser,Modern Warfare:1069,Travel:1097
kd5dgh,normalUser,Abstact Strategy:1009,Negotiation:1026
jtong77,normalUser,Miniatures:1047,Science Fiction:1016
greg foster,normalUser,Science Fiction:1016,Racing:1031
droopy,normalUser,Miniatures:1047,Travel:1097
ajbmaster,normalUser,Travel:1097,Trains:1034
bloodeisen,normalUser,Miniatures:1047,Economic:1021
franz64,normalUser,Modern Warfare:1069,Action/Dexterity:1032
nagawa hirokazu,normalUser,Movies/TV/Radio Theme:1064,Book:1117
t_s_sullivan,normalUser,Video Game Theme:1101,Territory Building:1086
okosp,normalUser,Puzzle:1028,Educational:1094
xoff,normalUser,Science Fiction:1016,Travel:1097
le jedi fou,normalUser,Modern Warfare:1069,Zombies:2481
arixius,normalUser,Memory:1045,Collectible Components:1044
notanseladams,normalUser,Print & Play:1120,Modern Warfare:1069
karmic_devil,normalUser,Transportation:1011,Collectible Components:1044
jonjacobmoon,normalUser,Card Game:1002,Wargame:1019
bort,normalUser,Murder/Mystery:1040,Adventure:1022
mktacoma,normalUser,Sports:1038,Action/Dexterity:1032
ubik,normalUser,Medieval:1035,Zombies:2481
ian_d_burrell,normalUser,Animals:1089,Abstact Strategy:1009
thetalkingstove,normalUser,Transportation:1011,Deduction:1039
mummelmongo,normalUser,Real-time:1037,Racing:1031
pirrekurr,normalUser,Card Game:1002,Medieval:1035
yamilyon,normalUser,Word-game:1025,Collectible Components:1044
blazetk,normalUser,Racing:1031,Sports:1038
gpogue,normalUser,Transportation:1011,Word-game:1025
daitheflea,normalUser,Deduction:1039,Real-time:1037
gunstherapy,normalUser,Territory Building:1086,Miniatures:1047
thelastemperor,normalUser,Transportation:1011,Exploration:1020
frunit7,normalUser,Ancient:1050,Abstact Strategy:1009
shawn082,normalUser,Napoleonic:1051,Action/Dexterity:1032
graceless,normalUser,Deduction:1039,Aviation/Flight:2650
bloody1337,normalUser,Print & Play:1120,World War II: 1049
thebigredpony,normalUser,Aviation/Flight:2650,Transportation:1011
kaledin,normalUser,Ancient:1050,Travel:1097
mdornbrook,normalUser,Humor:1079,Print & Play:1120
juniperforcella,normalUser,Ancient:1050,Fantasy:1010
ojcall,normalUser,Transportation:1011,Trains:1034
estolan,normalUser,Real-time:1037,Movies/TV/Radio Theme:1064
sabratha,normalUser,Fighting:1046,Abstact Strategy:1009
canadianbacon19,normalUser,Book:1117,Collectible Components:1044
chronoshift,normalUser,Territory Building:1086,Murder/Mystery:1040
dbrubeck,normalUser,Murder/Mystery:1040,Aviation/Flight:2650
vlnci,normalUser,Napoleonic:1051,Modern Warfare:1069
greidenb,normalUser,Zombies:2481,Party Game:1030
lordofgalaxy,normalUser,Spies/Secret Agents:1081,Wargame:1019
cardboardclover,normalUser,Number:1098,Movies/TV/Radio Theme:1064
lacapitana,normalUser,Medical:2145,Humor:1079
joeaverage,normalUser,Sports:1038,Real-time:1037
chlikaflok,normalUser,Sports:1038,Napoleonic:1051
theblib,normalUser,Negotiation:1026,Abstact Strategy:1009
evanmistur,normalUser,Educational:1094,Economic:1021
poskasto,normalUser,Travel:1097,Book:1117
blackemperor,normalUser,Number:1098,Novel-Based:1093
